47.672,0.72389146.8453,0.78185623.9212,0.048151723.8971,0.039245923.8395,0.038868523.819,0.020683923.8197,0.056839123.7663,0.072258123.7501,0.059538923.742,0.054314923.7531,0.054257523.6888,0.05432
47.672,0.73380746.8453,0.77681223.4467,0.055754623.4218,0.041862323.3772,0.033686123.3564,0.023269423.3593,0.054255523.293,0.077419323.2886,0.062127523.2677,0.051728523.2891,0.049090123.2129,0.04656
47.672,0.74372446.8321,0.77681222.9855,0.058288922.9597,0.044478722.9017,0.031094822.907,0.023269422.8858,0.056839122.833,0.072258122.8139,0.059538922.8066,0.046555622.8252,0.046506522.7502,0.0491466
47.672,0.74372446.8453,0.77176722.511,0.055754622.4976,0.047095122.4395,0.025912422.4443,0.025854922.4255,0.054255522.3729,0.064516122.3523,0.064716222.3455,0.043969222.3613,0.051673822.2875,0.0491466
47.672,0.7536446.8453,0.77681222.0497,0.05068622.0487,0.052327821.9904,0.028503621.9817,0.028440421.9651,0.059422721.9128,0.061935521.9039,0.069893521.8975,0.041382821.8974,0.062008621.8381,0.0517333
47.672,0.7536446.8453,0.78437821.6016,0.05068621.5866,0.054944221.5282,0.031094821.5323,0.036196921.5048,0.059422721.4527,0.064516121.4424,0.069893521.4495,0.046555621.4334,0.064592321.3754,0.0439733
47.672,0.76355646.8453,0.77933421.1403,0.048151721.1377,0.052327821.0791,0.033686121.0829,0.036196921.0576,0.064589921.0058,0.069677420.994,0.069893521.0016,0.051728520.9828,0.06717620.926,0.0388
47.672,0.77347346.8453,0.78185620.6922,0.05068620.6888,0.052327820.6301,0.031094820.6334,0.038782420.6104,0.059422720.5589,0.069677420.5457,0.077659420.5536,0.056901320.5321,0.064592320.4765,0.0336267
47.672,0.76355646.8453,0.79194420.2441,0.048151720.2399,0.052327820.181,0.028503620.184,0.041367920.1632,0.054255520.1119,0.069677420.0973,0.072482120.1056,0.054314920.0947,0.072343420.0271,0.0388
47.672,0.76355646.8453,0.79446619.8091,0.060823219.791,0.052327819.7319,0.025912419.7346,0.038782419.716,0.054255519.665,0.072258119.6489,0.072482119.6577,0.054314919.644,0.074927119.5908,0.0439733
47.672,0.7536446.8321,0.80455519.361,0.060823219.3553,0.054944219.2961,0.025912419.2852,0.038782419.282,0.059422719.2181,0.064516119.2137,0.072482119.2097,0.054314919.2198,0.074927119.1414,0.0388
47.672,0.7536446.8321,0.81212118.9261,0.060823218.9196,0.054944218.8603,0.031094818.849,0.038782418.8479,0.059422718.7843,0.056774218.7786,0.062127518.7749,0.059487718.7824,0.077510818.7051,0.0413866
47.672,0.78338946.8321,0.81716518.4912,0.063357518.4839,0.057560618.4244,0.036277318.4128,0.038782418.4139,0.051671918.3505,0.049032218.3434,0.059538918.327,0.062074118.345,0.077510818.2821,0.0413866
47.672,0.78338946.8321,0.81716518.0562,0.055754618.0482,0.06017717.9886,0.04405117.9766,0.038782417.9798,0.051671917.9167,0.056774217.9082,0.054361617.9054,0.064660617.9076,0.072343417.8591,0.0439733
47.672,0.80322246.8321,0.81716517.6345,0.058288917.6258,0.06017717.5659,0.04405117.5404,0.036196917.5458,0.054255517.4961,0.054193517.4862,0.054361617.4706,0.059487717.4834,0.072343417.4229,0.0388
47.672,0.79330546.8321,0.81968817.1996,0.055754617.2033,0.057560617.1433,0.049233517.1174,0.036196917.1249,0.049088317.0623,0.054193517.0642,0.054361617.0358,0.056901317.046,0.069759716.9999,0.0388
47.672,0.78338946.8321,0.8222116.7778,0.053220316.7808,0.06017716.7339,0.049233516.6812,0.041367916.704,0.051671916.6548,0.054193516.6422,0.049184316.6142,0.056901316.6218,0.06717616.5769,0.0439733
47.672,0.78338946.8321,0.82725416.356,0.045617416.3451,0.06017716.298,0.049233516.2715,0.043953416.2831,0.051671916.221,0.054193516.2203,0.049184316.1926,0.062074116.2109,0.064592316.1538,0.0413866
47.672,0.77347346.8321,0.82977615.9343,0.043083115.9358,0.06017715.8754,0.046642215.8485,0.041367915.8622,0.051671915.8135,0.051612915.8115,0.049184315.7841,0.062074115.7868,0.069759715.744,0.0362133
47.672,0.76355646.8321,0.82977615.5257,0.045617415.5133,0.06017715.4659,0.046642215.4255,0.046538915.4414,0.056839115.3929,0.059354815.3895,0.04400715.3625,0.062074115.3759,0.072343415.321,0.0362133
47.672,0.77347346.8321,0.83229815.1172,0.045617415.104,0.052327815.0433,0.04405115.0158,0.041367915.0336,0.051671914.9722,0.067096814.9807,0.036241114.9541,0.064660614.965,0.064592314.9112,0.0336267
47.672,0.76355646.8321,0.82977614.6954,0.040548814.6815,0.057560614.6339,0.04405114.606,0.041367914.6259,0.051671914.5647,0.067096814.5587,0.041418414.5325,0.062074114.5541,0.062008614.5014,0.0362133
47.672,0.7536446.8189,0.82977614.2868,0.040548814.259,0.06017714.2112,0.049233514.1962,0.041367914.205,0.051671914.1441,0.067096814.1499,0.038829714.124,0.056901314.1564,0.062008614.0917,0.0362133
47.672,0.74372446.8321,0.83229813.8783,0.043083113.8497,0.06017713.8018,0.049233513.7865,0.038782413.8104,0.059422713.7366,0.069677413.7411,0.033652413.7156,0.051728513.7455,0.062008613.6819,0.03104
47.672,0.7536446.8321,0.8222113.4829,0.043083113.4405,0.054944213.4056,0.049233513.3767,0.036196913.4027,0.059422713.3291,0.072258113.3323,0.033652413.3071,0.051728513.3346,0.054257513.2721,0.03104
47.672,0.7536446.8321,0.82725413.0743,0.030411613.0444,0.062793412.9961,0.049233512.9802,0.041367912.9949,0.054255512.9216,0.069677412.9235,0.036241112.9119,0.04914212.9369,0.051673812.8755,0.0284533
47.672,0.76355646.8321,0.83229812.6657,0.030411612.6351,0.065409812.5867,0.049233512.5836,0.043953412.6004,0.051671912.5272,0.077419312.5278,0.036241112.5166,0.04914212.5393,0.049090112.4657,0.0336267
47.672,0.7536446.8321,0.82473212.2703,0.035480212.2258,0.068026212.1773,0.051824712.1871,0.041367912.1926,0.049088312.1197,0.074838712.119,0.033652412.1082,0.038796312.1284,0.054257512.0691,0.0413866
47.672,0.73380746.8321,0.81464311.8749,0.038014511.8297,0.065409811.7943,0.046642211.7905,0.043953411.798,0.054255511.7254,0.0811.7234,0.038829711.7129,0.031037111.7307,0.056841211.6725,0.0413866
47.672,0.73380746.8321,0.81212111.4795,0.040548811.4336,0.065409811.398,0.036277311.394,0.043953411.4035,0.054255511.331,0.072258111.3278,0.038829711.3177,0.028450711.3463,0.064592311.276,0.0388
